0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:05 +0900] "GET /Project_01/image/power_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:05 +0900] "GET /Project_01/image/moniter_btn2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:05 +0900] "GET /Project_01/video_board_list?video_board_idx=0 HTTP/1.1" 200 2920
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:06 +0900] "GET /Project_01/board_product_list?product_board_idx=1 HTTP/1.1" 200 15348
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:06 +0900] "GET /Project_01/image/cart_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:06 +0900] "GET /Project_01/image/buy_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:08 +0900] "GET /Project_01/main HTTP/1.1" 200 12993
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:13 +0900] "GET /Project_01/user_logout HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:14 +0900] "GET /Project_01/main HTTP/1.1" 200 12895
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:20 +0900] "GET /Project_01/user_login HTTP/1.1" 200 8246
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:21 +0900] "GET /Project_01/admin_login HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:27 +0900] "GET /Project_01/user_login HTTP/1.1" 200 8246
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:31 +0900] "POST /Project_01/user_login_pro HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:31 +0900] "GET /Project_01/main HTTP/1.1" 200 12993
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:43 +0900] "GET /Project_01/board_product_list?product_board_idx=1 HTTP/1.1" 200 15348
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:44 +0900] "GET /Project_01/board_product_list?product_board_idx=2 HTTP/1.1" 200 11970
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:45 +0900] "GET /Project_01/board_product_list?product_board_idx=3 HTTP/1.1" 200 11976
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:47 +0900] "GET /Project_01/board_product_list?product_board_idx=4 HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:53:49 +0900] "GET /Project_01/board_product_list?product_board_idx=5 HTTP/1.1" 200 13739
