0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:11 +0900] "GET /Project_01/board_product_list?product_board_idx=1 HTTP/1.1" 200 30022
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:15 +0900] "GET /Project_01/board_video_list HTTP/1.1" 200 14797
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:15 +0900] "GET /Project_01/image/vga_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:15 +0900] "GET /Project_01/image/ssd_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:15 +0900] "GET /Project_01/image/cpu_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:15 +0900] "GET /Project_01/image/power_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:15 +0900] "GET /Project_01/image/ram_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:15 +0900] "GET /Project_01/image/mb_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:15 +0900] "GET /Project_01/image/case_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:28:15 +0900] "GET /Project_01/image/moniter_btn2.png HTTP/1.1" 304 -
